age range	condition	symptoms	treatment	follow-up	severity
0-2	Feeding Problem	not well attached to breast; not suckling effectively;  less than 8 breastfeeds in 24 hours; low weight for age;  thrush (ulcers or white patches in mouth); not well attached or not suckling effectively	 teach correct positioning and attachment; teach the mother to express breast milk and feed by a cup; advise to increase frequency of feeding;advise the mother to breastfeed as often and as long as the infant wants day and night; counsel the mother about breastfeeding more; reducing other foods or drinks; refer for breastfeeding counselling and possible relactation;advise about correctly preparing breast-milk substitutes and using a cup;advise the mother how to feed and keep the low weight infant warm at home;if thrush teach the mother to treat thrush at home;advise mother to give home care for the young infant	follow-up any feeding problem or thrush in 2 days;follow-up low weight for age in 14 days	Pink
2-60	Very Severe Disease	"any severe danger sign (not able to drink or breastfeed, vomits everything,convulsions,lethargic or unconscious)"	give diazepam if convulsing now; quickly complete the assessment; give any pre-referal treatment immediately;treat to prevent low blood sugar; keep the child warm; refer URGENTLY to hospital		Pink
2-60	Severe Pneumonia or Very Severe Disease	"stridor in calm child; any severe danger sign (not able to drink or breastfeed, vomits everything,convulsions,lethargic or unconscious)"	give first dose of an appropriate antibiotic;refer URGENTLY to hospital		Pink
2-60	Pneumonia	chest indrawing;fast breathing (50 breaths per minute or more ages 2-12m and 40 breaths per minute or more ages 12 months to 5 years)	"give oral Amoxicillin for 5 days;if wheezing (or disappeared after rapidly acting bronchodilator) give an inhaled bronchodilator for 5 days;if chest indrawing in HIV exposed/infected child, give first dose of amoxicillin and refer;soothe the throat and relieve the cough with a safe remedy;"	follow-up in 3 days; advise mother when to return immediately; if coughing for more than 14 days or recurrent wheeze refer for possible TB or asthma assessment;	Yellow
2-60	Cough or Cold	cough; no signs of pneumonia or very severe disease	if wheezing (or disappeared after rapidly acting bronchodilator) give an inhaled bronchodilator for 5 days;soothe the throat and relieve the cough with a safe remedy;if coughing for more than 14 days or recurrent wheeze refer for possible TB or asthma assessment	follow-up in 5 days if not improving; advise mother when to return immediately	Green
2-60	Severe Dehydration	 lethargic or unconscious;sunken eyes;not able to drink or drinking poorly;skin pinch goes back very slowly;diarrhea	if child has no other severe classification give fluid for severe dehydration (Plan C);if child has other severe classification refer URGENTLY to hospital with mother giving frequent sips of ORS on the way and advise the mother to continue breastfeeding;if child is 2 years or older and there is cholera in your area give antibiotic for cholera		Pink
2-60	Some Dehydration	restless and irritable;sunken eyes;drinks eagerly and thirsty;skin pinch goes back slowly;diarrhea	"give fluid, zinc supplements and food for some dehydration (Plan B);if child also has severe classification refer URGENTLY to hospital with mother giving frequent sips of ORS on the way and advise the mother to continue breastfeedingy"	 follow up in 5 days if not improving; advise mother when to return immediatel	Yellow
2-60	Severe Persistent Diarrhea	diarrhea for 14 days or more;diarrhea;dehydration present	treat dehydration before referral unless the child has another severe classification;refer to hospital		Pink
2-60	Persistent Diarrhea	diarrhea for 14 days or more;diarrhea;no dehydration	advise the mother on feeding a child who has persistent diarrhea; give multivitamins and minerals (including zinc) for 14 days	follow-up in 5 days	Yellow
2-60	Dysentery	blood in the stool;diarrhea	give ciprofloxacin for 3 days	follow-up in 3 days	Yellow
2-60	Mastoiditis	tender swelling behind the ear; ear pain	give first dose of an appropriate antibiotic;give first dose of paracetamol for pain;refer URGENTLY to hospital		Pink
2-60	Acute Ear Infection	pus is seen draining from the ear;ear discharge is reported for less than 14 days;ear pain	give an antibiotic for 5 days;give paracetamol for pain;dry the ear by wicking	follow-up in 5 days	Yellow
2-60	Chronic Ear Infection	pus is seen draining from the ear;ear discharge is reported for 14 days or more;ear pain	dry the ear by wicking;treat with topical quinolone eardrops for 14 days	follow-up in 5 days	Yellow
2-60	Very Severe Febrile Disease with Malaria Risk	"any general danger sign (not able to drink or breastfeed, vomits everything,convulsions,lethargic or unconscious);stiff neck; fever"	give first dose of artesunate or quinine for severe malaria;give first dose of an appropriate antibiotic;treat to prevent low blood sugar;give one dose of paracetamol in clinic for high fever (38.5 C or above);refer URGENTLY to hospital		Pink
2-60	Malaria	Malaria test positive; fever	give recommended first line oral antimalarial;give one dose of paracetamol in clinic for high fever (38.5 C or above);give appropriate antibiotic treatment for an identified bacterial cause of fever; advise mother when to return immediately	follow-up in 3 days if fever persists; if fever is present every day for more than 7 days refer for assessment	Yellow
2-60	Fever: No Malaria	Malaria test negative; fever	give one dose of paracetamol in clinic for high fever (38.5 C or above);give appropriate antibiotic treatment for an identified bacterial cause of fever; advise mother when to return immediately	follow-up in 3 days if fever persists;if fever is present every day for more than 7 days refer for assessment	Green
2-60	Very Severe Febrile Disease with no Malaria Risk	"any general danger sign (not able to drink or breastfeed, vomits everything,convulsions,lethargic or unconscious);stiff neck; fever"	give first dose of an appropriate antibiotic;treat child to prevent low blood sugar;give one dose of paracetamol in clinic for high fever (38.5 C or above);refer URGENTLY to hospital		Pink
2-60	Fever	"no general danger signs (not able to drink or breastfeed, vomits everything,convulsions,lethargic or unconscious);no stiff neck;fever"	Give one dose of paracetamol in clinic for high fever (38.5 C or above);give appropriate antibiotic treatment for any identified bacterial cause of fever;advise mother when to return immediately	follow-up in 2 days if fever persists;if fever is present every day for more than 7 days refer for assessment	Green
2-60	Severe Complicated Measles	"any general danger sign (not able to drink or breastfeed, vomits everything,convulsions,lethargic or unconscious);clouding of cornea;deep or extensive mouth ulcers; generalized rash; cough; runny nose;  red eyes; fever"	give Vitamin A treatment;give first dose of an appropriate antibiotic; apply tetracycline eye ointment;refer URGENTLY to hospital		Pink
2-60	Measles with Eye or Mouth Complications	pus draining from the eye;mouth ulcers; generalized rash; runny nose;red eyes; fever	give Vitamin A treatment;apply tetracycline eye ointment;if mouth ulcers treat with gentian violet	follow-up in 3 days	Yellow
2-60	Measles	generalized rash; cough; runny nose; red eyes; fever	give Vitamin A treatment		Green
2-60	Cholera	movement only when stimulated or no movement at all; lethargic or unconscious;sunken eyes;not able to drink; drinking poorly;skin pinch goes back very slowly; Cholera in area;diarrhea	give fluid for severe dehydration (Plan C);refer URGENTLY to hospital with mother giving frequent sips of ORS on the way;advise the mother to continue breastfeeding; give antibiotic for Cholera		Pink
2-60	Complicated Nutritional Status and Severe Acute Malnutrition	"oedema of both feet;WFH/L less than -3 z-scores; MUAC less than 115 mm; medical complication present, not able to finish RUTF or breastfeeding problem"	give first dose appropriate antibiotic;treat to prevent low blood sugar;keep the child warm;refer URGENTLY to hospital		Pink
2-60	Uncomplicated Severe Acute Malnutrition	WFH/L less than -3 z-scores; MUAC less than 115 mm;  able to finish RUTF	give oral antibiotics for 5 days;give ready-to-use therapeutic food for a child aged 6 months or more;counsel the mother on how to feed the child;assess for possible TB infection;advise mother when to return immediately	follow-up in 7 days	Yellow
2-60	Moderate Acute Malnutrition	WFH/L between -3 and -2 z-scores;MUAC 115-125 mm	assess the child's feeding and counsel the mother on the feeding recommendations;assess for possible TB infection;advise mother when to return immediately	if feeding problem follow-up in 7 days;follow-up in 30 days	Yellow
2-60	No Acute Malnutrition	WFH/L 2 z-scores or more; MUAC 125 mm or more	if child is less than 2 years old assess the childs feeding and counsel the mother on feeding according to the feeding recommendations	if feeding problem follow-up in 7 days	Green
2-60	Severe Anemia	severe palmar pallor	refer URGENTLY to hospital		Pink
2-60	Anemia	some palmar pallor	give iron;give mebendazole if child is 1 year or older and has not had a dose in the previous 6 months;advise mother when to return immediately	follow-up in 14 days	Yellow
2-60	No Anemia	no palmar pallor	if child is less than 2 years old assess the childs feeding and counsel the mother on feeding according to the feeding recommendations	if feeding problem follow-up in 5 days	Yellow
2-60	Confirmed HIV Infection	positive virological test in child;positive serological test in child 18 months or older	Initiate ART treatment and HIV care;give cotrimoxazole prophylaxis;assess the child's feeding and provide appropriate counselling to the mother;advise the mother on home care;assess or refer for TB assessment and INH preventive therapy	follow-up regularly as per national guidelines	Yellow
2-60	HIV Exposed	Mother HIV-positive and negative virological test in a breastfeeding child or only stopped less than 6 weeks ago; Mother HIV-positive child not yet tested; positive serological test in a child less than 18 months old	give cotrimoxazole prophylaxis;start or continue ARV prophylaxis as recommended;do virological test to confirm HIV status;assess the child's feeding and provide appropriate counselling to the mother;advise the mother on home care	follow-up regularly as per national guidelines	Yellow
2-60	No HIV Infection	Negative HIV test in mother or young infant	"treat, counsel and follow-up existing infections"		Green
					
					
					
